Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
"('"" Nordpresse "" dit avoir été censuré par Facebook', 'le monde', '2018-07-24')",Social Media Platform->Influential Individual,Social Media Platform,Influential Individual,Community Specific Rules_Content Limitation,,Facebook,https://www.lemonde.fr/les-decodeurs/article/2018/07/22/bloque-sur-facebook-le-site-parodique-nordpresse-crie-a-la-censure_5334640_4355770.html
"('Burhan effect: Facebook blocks page of Kashmir magazine, deletes cover of issue', 'the hindustan times', '2017-07-10')",Influential Individual->Social Media Platform,Influential Individual,Social Media Platform,Community Specific Rules_Content Limitation,,Facebook,https://www.hindustantimes.com/india-news/burhan-effect-facebook-blocks-page-of-kashmir-magazine-deletes-cover-of-issue/story-FWxU7PnATmZc52jClkkl0O.html
"('By-election online breaches: Police warnings for 4', 'the straits times', '2017-02-17')",Regular Group->Social Media Platform,Regular Group,Social Media Platform,Community Specific Rules_Content Limitation,Legal Action,Facebook,https://www.straitstimes.com/politics/four-people-receive-police-warning-over-online-posts-during-bukit-batok-by-election
"('Facebook reverses ban on Led Zeppelin album cover featuring naked children', 'the guardian', '2019-06-21')",Social Media Platform->Influential Individual,Social Media Platform,Influential Individual,Community Specific Rules_Content Limitation,,Facebook,https://www.theguardian.com/music/2019/jun/21/facebook-reverses-ban-on-led-zeppelin-album-cover-featuring-naked-children
"('Microsoft bans users for ‘excessive profanity’ in Xbox One video uploads', 'the guardian', '2013-11-26')",Regular Individual->Regular Group,Regular Individual,Regular Group,Community Specific Rules_Content Limitation,Banned from Community,Xbox Live,https://www.theguardian.com/technology/2013/nov/26/microsoft-bans-users-for-excessive-profanity-in-xbox-one-video-uploads
"('My sister-in-law who talks flirty on Facebook', 'irish times', '2010-11-10')",Regular Individual->Social Media Platform,Regular Individual,Social Media Platform,Community Specific Rules_Content Limitation,,Facebook,https://www.irishtimes.com/life-and-style/people/my-sister-in-law-who-talks-flirty-on-facebook-1.674785
"('The Parody Tweets That Went on Too Long', 'new york times', '2009-04-19')",Regular Group->Regular Group,Regular Group,Regular Group,Community Specific Rules_Format,,Twitter,https://www.nytimes.com/2009/04/20/business/media/20trudeau.html
"('These Oklahoma marijuana dispensaries are suing Facebook', 'chicago tribune', '2019-08-02')",Regular Group->Social Media Platform,Regular Group,Social Media Platform,Community Specific Rules_Content Limitation,Legal Action,Facebook,https://www.chicagotribune.com/2019/08/02/these-oklahoma-marijuana-dispensaries-are-suing-facebook/
"('YouTube video: Notice issued to SAD for poll code violation in Adampur constituency', 'the hindustan times', '2017-01-15')",Regular Individual->Social Media Platform,Regular Individual,Social Media Platform,Community Specific Rules_Content Limitation,Legal Action,Youtube,https://www.hindustantimes.com/assembly-elections/adampur-mla-pawan-kumar-tinu-s-promotional-advertisement-sad-issued-notice-for-poll-code-violation/story-RqoFtiqadRpvbGJn7puRjJ.html
"('Zuckerberg's advocacy ads under fire; Seeking immigration reform, Facebook founder is alienating some progressives by touting conservatives.', 'los angeles times', '2013-05-02')",Influential Individual->Social Media Platform,Influential Individual,Social Media Platform,Community Specific Rules_Content Limitation,,Facebook,https://www.latimes.com/business/la-xpm-2013-may-01-la-fi-facebook-zuckerberg-20130502-story.html
"(Facebook moves to reduce 'clickbait', international new york times, 2016-08-06)",Social Media Platform->Influential Group,Social Media Platform,Influential Group,Community Specific Rules_Content Limitation,,Facebook,https://www.nytimes.com/2016/08/05/technology/facebook-moves-to-push-clickbait-lower-in-the-news-feed.html
"(Facebook restores posts following complaints about incorrect removal, irish times, 2020-03-19)",Social Media Platform->Regular Group,Social Media Platform,Regular Group,Community Specific Rules_Content Limitation,Public Message from/to Social Media,Facebook,https://www.irishtimes.com/news/health/coronavirus-facebook-forced-to-restore-covid-19-posts-following-complaints-1.4206006
"(Scary Campaign Ads, And a Mother's Story, new york times, 2004-10-24)",Influential Individual->Regular Individual,Influential Individual,Regular Individual,Community Specific Rules_Content Limitation,,TV,https://www.nytimes.com/2004/10/24/opinion/scary-campaign-ads-and-a-mothers-story-396087.html
Rahul's videos 'suppressed'? YouTube to find out,Regular Group->Regular Group,Regular Group,Regular Group,Community Specific Rules_Content Limitation,,Youtube,https://timesofindia.indiatimes.com/india/rahuls-videos-suppressed-youtube-to-probe/articleshow/99102753.cms
YouTube blocks PIB's video content,Social Media Platform->Influential Individual,Social Media Platform,Influential Individual,Community Specific Rules_Content Limitation,,Youtube,https://elpais.com/politica/2018/09/09/actualidad/1536522168_713986.html
